"名称","名称かな","所在地","TEL","FAX","URL","備考","郵便番号","施設ID","経度","緯度","分類"
"中消防署","なかしょうぼうしょ","広島市中区大手町五丁目20番12号","082ｰ541-2700","082ｰ542-7720","","","730-0051","A002000001","132.45231469302","34.380459387796","消防署所"
"東消防署","ひがししょうぼうしょ","広島市東区光町二丁目12番6号","082-263-8401","082-263-7489","","","732-0052","A002000002","132.481756856929","34.3997948538746","消防署所"
"南消防署","みなみしょうぼうしょ","広島市南区的場町二丁目5番14号","082-261-5181","082-261-5191","","","732-0824","A002000003","132.475175804014","34.3910977491633","消防署所"
"南消防署日宇那出張所","みなみしょうぼうしょひうなしゅっちょうしょ","広島市南区日宇那町3番6号","082-255-7973","082-255-7973","","","734-0031","A002000004","132.492137567895","34.3612954630681","消防署所"
"安佐南消防署","あさみなみしょうぼうしょ","広島市安佐南区緑井一丁目10番3号","082-877-4101","082-877-9462","","","731-0103","A002000005","132.477073040044","34.4650792092113","消防署所"
"安佐北消防署","あさきたしょうぼうしょ","広島市安佐北区可部南四丁目26番13号","082-814-4795","082-814-9931","","","731-0223","A002000006","132.513515924097","34.5039422589831","消防署所"
"佐伯消防署","さえきしょうぼうしょ","広島市佐伯区五日市中央七丁目25番18号","082-921-2235","082-921-5336","","","731-5128","A002000007","132.359306995003","34.3809362221188","消防署所"
"南消防署似島出張所","みなみしょうぼうしょにのしましゅっちょうしょ","広島市南区似島町家下752番地74","082-259-2038","082-259-2066","","","734-0017","A002000008","132.432321592966","34.3122773113944","消防署所"
"消防航空隊基地","しょうぼうこうくうたいきち","広島市西区観音新町四丁目10番2号","082-546-3454","082-546-3455","","","733-0036","A002000009","132.419501155916","34.3709404327325","消防署所"
"広島市総合防災センタ-","ひろしましそうごうぼうさいせんたー","広島市安佐北区倉掛二丁目33番1号","082-843-0918","082-842-2178","","","739-1743","A002000010","132.533127329906","34.4706052371705","消防署所"
"中消防署基町出張所","なかしょうぼうしょもとまちしゅっちょうしょ","広島市中区基町20番8号","082ｰ223-3451","082ｰ223-3451","","","730-0011","A002000011","132.458046612969","34.4044358733706","消防署所"
"中消防署江波出張所","なかしょうぼうしょえばしゅっちょうしょ","広島市中区舟入南六丁目2番1号","082-291-0616","082-291-0616","","","730-0847","A002000012","132.436849687971","34.3745800942405","消防署所"
"東消防署戸坂出張所","ひがししょうぼうしょへさかしゅっちょうしょ","広島市東区戸坂出江二丁目9番11号","082-229-4067","082-229-4067","","","732-0012","A002000013","132.488137218009","34.4325768289592","消防署所"
"南消防署青崎出張所","みなみしょうぼうしょあおさきしゅっちょうしょ","広島市南区東青崎町10番25号","082-281-7999","082-281-7999","","","734-0051","A002000014","132.508755653045","34.3737097221902","消防署所"
"南消防署宇品出張所","みなみしょうぼうしょうじなしゅっちょうしょ","広島市南区宇品東二丁目1番46号","082-255-7493","082-255-7493","","","734-0003","A002000015","132.470365028916","34.3666677682674","消防署所"
"西消防署三篠出張所","にししょうぼうしょみささしゅっちょうしょ","広島市西区三篠町三丁目16番23号","082-238-5094","082-238-5094","","","733-0003","A002000016","132.455992202993","34.414860062487","消防署所"
"安佐南消防署上安出張所","あさみなみしょうぼうしょかみやすしゅっちょうしょ","広島市安佐南区上安五丁目8番14号","082-878-3088","082-878-3088","","","731-0154","A002000017","132.449124358974","34.4846821243547","消防署所"
"安佐南消防署沼田出張所","あさみなみしょうぼうしょぬまたしゅっちょうしょ","広島市安佐南区伴東四丁目18番6号","082-848-0200","082-848-0200","","","731-3164","A002000018","132.410637799933","34.4641573872438","消防署所"
